Country,Year,Avg_Temp_C,Precip_mm,Fertilizer_kg_ha,Pesticide_kg_ha,Irrigation_%,Mechanization_tractors_ha,Wheat_Yield_tph
Greece,2010,14.49,775.4,196.4,2.0,19.0,0.56,9.04
Greece,2011,10.25,785.0,216.5,1.03,21.4,0.62,9.18
Greece,2012,13.65,562.4,136.4,1.23,60.1,0.52,7.17
Greece,2013,15.47,692.6,89.9,1.79,58.3,0.31,6.76
Greece,2014,17.29,385.3,63.0,2.87,91.9,2.06,6.15
Greece,2015,18.21,520.1,74.4,1.74,8.1,2.29,4.53
Greece,2016,13.11,631.3,112.3,1.8,54.2,0.63,7.41
Greece,2017,11.06,398.0,59.0,1.31,40.0,0.82,4.52
Greece,2018,19.94,478.4,106.2,1.86,17.7,2.05,5.11
Greece,2019,10.07,707.7,191.4,2.32,74.4,0.37,9.95
Greece,2020,14.3,357.9,222.6,2.06,34.8,0.35,7.14
Greece,2021,18.76,618.8,227.4,1.68,15.8,1.84,8.01
Greece,2022,19.13,580.6,204.2,1.73,52.0,1.18,8.8
Italy,2010,13.77,554.3,231.5,1.12,41.9,1.94,8.74
Italy,2011,12.75,338.5,108.0,0.9,88.7,2.06,6.93
Italy,2012,19.64,393.3,228.5,1.85,77.7,2.26,9.25
Italy,2013,13.82,355.0,95.6,1.57,78.6,2.18,6.27
Italy,2014,15.01,411.1,74.0,1.34,89.9,0.94,6.31
Italy,2015,16.23,651.5,122.7,2.93,91.6,0.78,8.2
Italy,2016,13.42,318.4,171.9,1.76,9.6,0.84,5.48
Italy,2017,20.9,419.8,79.0,1.72,93.7,0.76,7.01
Italy,2018,12.85,664.1,123.6,2.08,62.0,1.43,8.11
Italy,2019,11.08,717.7,114.2,0.97,8.7,1.56,5.77
Italy,2020,17.74,387.2,188.2,1.47,89.3,0.52,8.57
Italy,2021,14.09,356.7,234.9,2.69,28.2,1.72,7.71
Italy,2022,16.36,420.9,68.6,2.74,86.0,1.66,6.79
Spain,2010,14.07,474.6,195.2,2.74,84.8,1.99,8.95
Spain,2011,11.94,749.3,171.3,0.52,14.1,1.73,7.74
Spain,2012,10.06,380.4,159.7,2.23,63.7,0.72,6.89
Spain,2013,13.9,673.2,179.9,2.62,64.2,1.51,9.42
Spain,2014,11.12,483.9,103.0,1.11,92.6,1.1,7.44
