participant_id,fixation_id,x,y,preference
1,1,437.6,177.4,Caprice
1,2,487.4,833.1,Caprice
1,3,1499.2,633.3,Caprice
1,4,1513.6,615.0,Caprice
1,5,505.6,242.1,Caprice
1,6,439.0,261.4,Caprice
1,7,1641.8,766.7,Caprice
1,8,1688.5,904.2,Caprice
1,9,607.3,707.2,Caprice
2,1,1461.9,222.4,Caprice
2,2,1727.1,726.1,Caprice
2,3,487.7,763.1,Caprice
2,4,1440.7,192.5,Caprice
2,5,1543.6,601.0,Caprice
2,6,1521.2,620.2,Caprice
2,7,562.4,736.4,Caprice
2,8,1560.6,624.8,Caprice
2,9,1525.2,594.6,Caprice
2,10,1428.4,210.2,Caprice
3,1,466.8,241.7,Caprice
3,2,1487.9,655.0,Caprice
3,3,510.4,664.1,Caprice
3,4,1489.4,202.1,Caprice
3,5,481.8,198.5,Caprice
3,6,1450.0,676.8,Caprice
3,7,1467.4,274.5,Caprice
3,8,1466.4,595.3,Caprice
4,1,559.9,188.8,WaferRoll
4,2,1491.8,324.4,WaferRoll
4,3,1714.9,929.3,WaferRoll
4,4,1506.7,527.4,WaferRoll
4,5,450.9,211.8,WaferRoll
4,6,1714.5,713.5,WaferRoll
4,7,1451.1,311.0,WaferRoll
4,8,1448.2,281.6,WaferRoll
5,1,552.3,643.1,Caprice
5,2,1451.7,632.3,Caprice
5,3,1459.5,645.7,Caprice
5,4,442.4,280.8,Caprice
5,5,1531.8,623.4,Caprice
5,6,1555.9,583.3,Caprice
5,7,1781.8,757.6,Caprice
5,8,1618.6,737.5,Caprice
6,1,1464.5,248.6,Caprice
6,2,1633.2,854.8,Caprice
6,3,430.3,738.5,Caprice
6,4,1710.3,799.8,Caprice
6,5,497.7,169.4,Caprice
6,6,496.6,801.6,Caprice
6,7,545.1,191.4,Caprice
6,8,539.2,652.2,Caprice
6,9,1596.7,593.8,Caprice
6,10,1698.9,765.9,Caprice
7,1,423.1,726.5,WaferRoll
7,2,1351.8,291.4,WaferRoll
7,3,1490.7,544.2,WaferRoll
7,4,541.0,831.0,WaferRoll
7,5,1499.4,253.3,WaferRoll
7,6,1511.3,310.1,WaferRoll
7,7,1506.1,586.0,WaferRoll
7,8,1554.9,241.6,WaferRoll
7,9,1718.8,805.3,WaferRoll
7,10,368.7,201.1,WaferRoll
8,1,462.2,649.7,Caprice
8,2,1535.6,250.2,Caprice
8,3,467.4,266.7,Caprice
8,4,1479.9,637.9,Caprice
8,5,558.8,699.2,Caprice
8,6,423.4,229.6,Caprice
8,7,1419.2,197.5,Caprice
9,1,1524.7,666.4,WaferRoll
9,2,430.2,649.2,WaferRoll
9,3,537.0,742.2,WaferRoll
9,4,419.6,245.7,WaferRoll
9,5,494.7,223.4,WaferRoll
9,6,1709.5,866.7,WaferRoll
9,7,397.1,151.3,WaferRoll
9,8,591.3,643.9,WaferRoll
10,1,511.9,292.9,WaferRoll
10,2,453.3,198.7,WaferRoll
10,3,502.0,644.2,WaferRoll
10,4,1569.3,305.4,WaferRoll
10,5,1577.0,642.0,WaferRoll
10,6,1542.5,285.4,WaferRoll
10,7,558.2,718.7,WaferRoll
10,8,525.0,669.4,WaferRoll
11,1,1604.8,622.8,WaferRoll
11,2,1480.6,268.1,WaferRoll
11,3,1551.8,613.0,WaferRoll
11,4,1696.9,815.2,WaferRoll
11,5,1753.7,820.7,WaferRoll
11,6,1702.7,807.8,WaferRoll
11,7,1521.7,572.7,WaferRoll
11,8,1505.6,275.7,WaferRoll
11,9,1523.3,659.8,WaferRoll
12,1,1702.3,769.3,Caprice
12,2,1497.2,275.2,Caprice
12,3,1590.5,603.4,Caprice
12,4,1680.9,833.0,Caprice
12,5,444.0,238.9,Caprice
12,6,1448.6,272.5,Caprice
