participant_id,fixation_id,x,y,preference
1,1,1695.5,418.8,Caprice
1,2,1251.6,595.1,Caprice
1,3,498.8,828.4,Caprice
1,4,481.3,419.7,Caprice
1,5,518.1,565.3,Caprice
1,6,1389.2,554.2,Caprice
1,7,1494.1,324.0,Caprice
1,8,375.4,691.7,Caprice
1,9,527.4,763.0,Caprice
2,1,532.4,162.4,Caprice
2,2,322.8,591.8,Caprice
2,3,431.2,207.4,Caprice
2,4,1944.1,384.9,Caprice
2,5,271.0,458.2,Caprice
2,6,1500.5,394.5,Caprice
2,7,1519.6,749.9,Caprice
3,1,505.5,832.0,Caprice
3,2,511.1,662.2,Caprice
3,3,1516.8,833.6,Caprice
3,4,844.9,876.8,Caprice
3,5,407.9,130.1,Caprice
3,6,511.1,544.5,Caprice
3,7,1435.9,777.4,Caprice
4,1,1776.0,271.7,Caprice
4,2,1519.5,345.2,Caprice
4,3,413.0,585.3,Caprice
4,4,1525.3,313.8,Caprice
4,5,1502.8,679.3,Caprice
4,6,516.9,338.9,Caprice
4,7,503.9,534.5,Caprice
4,8,580.3,596.6,Caprice
5,1,439.2,203.6,Caprice
5,2,1374.7,819.5,Caprice
5,3,527.6,818.3,Caprice
5,4,374.1,270.5,Caprice
5,5,1494.0,367.0,Caprice
5,6,1593.9,201.7,Caprice
6,1,1728.1,687.1,WaferRoll
6,2,1414.9,486.0,WaferRoll
6,3,1643.8,311.1,WaferRoll
6,4,582.0,760.0,WaferRoll
6,5,1776.6,174.2,WaferRoll
6,6,1341.2,740.6,WaferRoll
6,7,1193.5,741.2,WaferRoll
6,8,1616.0,796.1,WaferRoll
7,1,778.2,833.4,WaferRoll
7,2,508.0,257.8,WaferRoll
7,3,1430.9,746.1,WaferRoll
7,4,573.7,616.6,WaferRoll
7,5,1372.7,450.9,WaferRoll
7,6,418.0,260.4,WaferRoll
7,7,391.6,743.8,WaferRoll
7,8,546.9,400.9,WaferRoll
7,9,444.7,432.1,WaferRoll
7,10,1538.5,510.6,WaferRoll
8,1,590.5,911.2,Caprice
8,2,958.0,65.5,Caprice
8,3,1658.1,435.3,Caprice
8,4,549.9,758.3,Caprice
8,5,752.2,384.3,Caprice
8,6,329.7,222.7,Caprice
9,1,452.2,575.0,Caprice
9,2,593.9,816.1,Caprice
9,3,805.0,369.9,Caprice
9,4,446.9,584.9,Caprice
9,5,221.0,352.8,Caprice
9,6,483.2,225.3,Caprice
9,7,1627.4,999.0,Caprice
9,8,1547.4,576.6,Caprice
9,9,1571.8,312.3,Caprice
10,1,1386.4,471.4,WaferRoll
10,2,501.6,750.3,WaferRoll
10,3,1601.7,867.1,WaferRoll
10,4,552.6,467.5,WaferRoll
10,5,1358.0,766.8,WaferRoll
10,6,504.1,383.7,WaferRoll
10,7,373.9,116.4,WaferRoll
10,8,537.3,677.0,WaferRoll
10,9,360.9,904.1,WaferRoll
11,1,439.4,367.6,Caprice
11,2,459.1,704.5,Caprice
11,3,1531.2,859.6,Caprice
11,4,474.3,350.9,Caprice
11,5,456.1,586.7,Caprice
11,6,1557.3,896.5,Caprice
11,7,405.8,805.3,Caprice
11,8,1376.2,287.1,Caprice
11,9,1522.5,815.2,Caprice
11,10,1463.3,817.9,Caprice
12,1,733.1,644.6,Caprice
12,2,1834.3,734.7,Caprice
12,3,502.8,567.9,Caprice
12,4,447.3,707.6,Caprice
12,5,1445.3,382.7,Caprice
12,6,1667.6,573.4,Caprice
12,7,571.4,776.6,Caprice
12,8,1638.7,795.0,Caprice
12,9,1751.6,381.2,Caprice
12,10,1575.9,860.0,Caprice
13,1,533.6,194.8,WaferRoll
13,2,432.2,724.9,WaferRoll
13,3,1632.0,693.1,WaferRoll
13,4,520.1,513.0,WaferRoll
