participant_id,fixation_id,x,y,preference,fixation_duration,pupil_diameter
1,1,419.6,764.1,Caprice,316.9,3.1896
1,2,523.0,704.2,Caprice,402.9,3.2532
1,3,556.5,776.2,Caprice,302.5,3.2447
1,4,532.7,301.9,Caprice,322.4,3.0868
1,5,1416.9,294.6,Caprice,177.1,3.0252
1,6,612.3,797.5,Caprice,318.7,3.3919
1,7,577.1,414.1,Caprice,266.1,3.3349
1,8,1529.0,817.1,Caprice,182.7,2.8927
1,9,1737.9,405.3,Caprice,279.9,2.9260
2,1,1476.4,738.2,WaferRoll,263.7,3.3621
2,2,1482.5,796.7,WaferRoll,519.9,3.7000
2,3,542.3,742.6,WaferRoll,288.6,3.3125
2,4,1366.9,736.1,WaferRoll,357.5,3.6662
2,5,463.5,362.1,WaferRoll,299.0,3.2053
2,6,536.0,257.5,WaferRoll,222.6,3.0696
3,1,399.3,596.6,Caprice,349.0,3.2841
3,2,536.2,703.1,Caprice,442.6,3.5728
3,3,1474.0,287.2,Caprice,303.5,3.3074
3,4,1569.1,854.7,Caprice,225.9,3.1912
3,5,495.7,223.4,Caprice,438.3,3.4126
3,6,481.1,303.9,Caprice,384.1,3.4395
3,7,1437.6,300.9,Caprice,225.7,3.0898
3,8,448.5,243.4,Caprice,325.1,3.6804
3,9,1433.5,695.9,Caprice,290.0,3.2910
4,1,1581.8,771.0,WaferRoll,441.4,2.9711
4,2,1738.8,376.8,WaferRoll,403.0,2.9376
4,3,486.7,419.6,WaferRoll,179.2,2.8052
4,4,698.9,393.3,WaferRoll,273.9,2.7455
4,5,551.2,399.9,WaferRoll,382.0,2.7443
4,6,496.6,749.3,WaferRoll,345.6,2.8635
4,7,1445.9,695.6,WaferRoll,288.5,2.9230
4,8,1462.9,343.5,WaferRoll,444.9,3.1776
4,9,1496.2,783.7,WaferRoll,368.3,3.1500
5,1,1521.1,749.9,Caprice,319.3,2.8058
5,2,397.9,760.1,Caprice,472.9,3.0290
5,3,386.1,374.8,Caprice,728.7,2.9309
5,4,1748.9,444.8,Caprice,254.2,2.7410
5,5,1428.3,288.9,Caprice,357.9,2.7245
5,6,437.4,275.4,Caprice,360.4,3.0758
5,7,1366.2,301.5,Caprice,292.7,2.6355
