Eye movement type,Gaze event duration,Eye movement type index,Fixation point X (pixel),Fixation point Y (pixel),Fixation point X (MCSnorm),Fixation point Y (MCSnorm)
Fixation,333,280,3027,1259,0.6976,0.57
Fixation,200,281,2261,967,0.521,0.4376
Fixation,316,282,2155,1863,0.4966,0.8431
Fixation,266,283,2226,1944,0.513,0.88
Fixation,183,287,1880,1267,0.4334,0.5735
Fixation,266,288,2093,1770,0.4823,0.8013
Fixation,250,289,2196,1801,0.506,0.8153
Fixation,250,290,2230,2002,0.514,0.9061
Fixation,333,291,1857,1813,0.4281,0.8207
Fixation,383,292,1860,1866,0.4286,0.8446
Fixation,682,293,2223,1992,0.5124,0.9016
Fixation,432,294,2204,1788,0.508,0.8095
Fixation,499,295,2033,1771,0.4685,0.8018
Fixation,416,296,2185,1789,0.5036,0.8097
Fixation,250,297,2055,1782,0.4737,0.8064
Fixation,83,298,844,1469,0.1945,0.6651
Fixation,83,308,684,1451,0.1577,0.6569
Fixation,83,309,52,1337,0.0121,0.6054
Fixation,233,310,645,1355,0.1487,0.6135
Fixation,183,311,277,1476,0.0639,0.668
Fixation,83,312,729,1458,0.1682,0.6601
Fixation,183,313,917,1488,0.2113,0.6735
Fixation,233,314,237,1584,0.0547,0.717
Fixation,183,315,477,1548,0.11,0.7009
Fixation,233,316,838,1538,0.1933,0.6963
Fixation,283,317,988,1546,0.2278,0.6996
Fixation,133,318,257,1350,0.0593,0.611
Fixation,83,319,250,1336,0.0578,0.6048
Fixation,83,320,676,1361,0.1558,0.6161
Fixation,100,329,1752,1087,0.4038,0.4923
Fixation,233,330,3471,1243,0.7999,0.5625
Fixation,250,331,3984,1290,0.9181,0.5841
Fixation,233,332,3359,243,0.774,0.1104
Fixation,150,333,3203,277,0.7381,0.1256
Fixation,216,336,3334,1017,0.7683,0.4603
Fixation,266,337,3962,1159,0.913,0.5245
Fixation,300,338,3292,1621,0.7586,0.7336
Fixation,183,339,3561,1640,0.8207,0.7421
Fixation,216,340,3397,1549,0.7829,0.7013
Fixation,200,341,3233,1438,0.745,0.6508
Fixation,216,343,2021,1139,0.4657,0.5157
Fixation,233,344,2211,1736,0.5095,0.7857
Fixation,233,346,1983,830,0.4571,0.376
Fixation,349,347,2054,969,0.4735,0.4389
Fixation,366,348,1916,729,0.4417,0.3302
Fixation,316,349,1932,719,0.4452,0.3256
Fixation,233,350,2379,791,0.5482,0.3583
Fixation,749,351,2344,1047,0.5403,0.4738
Fixation,351,352,3199,447,0.7371,0.2023
Fixation,223,354,3386,441,0.7802,0.1995
Fixation,210,355,3878,279,0.8935,0.1262
