Participant name,Preference,Gaze event duration 1,Gaze event duration 2
Participant1,0,4.222201446,0.478090917
Participant2,1,5.155968252,6.571449187
Participant3,0,4.726546814,3.39123301
Participant4,1,5.338264696,5.457567778
Participant5,1,4.110959839,5.477681131
Participant6,1,3.195619812,5.894547744
Participant7,1,3.80050629,4.105135335
Participant8,1,4.973085302,5.658868281
Participant9,1,4.176215927,4.570596177
Participant10,1,5.276681181,3.841383787
Participant11,0,4.301043072,3.852080516
Participant12,0,6.072324127,3.216198973
Participant13,0,4.313762835,3.152418612
Participant14,1,6.306801219,5.948789903
Participant15,1,4.023215071,4.581846162
Participant16,0,2.468318905,2.403322435
Participant17,1,4.1694988,2.196508345
Participant18,1,3.187477124,2.40447586
Participant19,0,6.518949896,1.6791072
Participant20,0,7.217298605,3.450103178
Participant21,0,4.175265546,3.69529002
Participant22,0,4.387192799,4.067855418
Participant23,0,4.799798058,3.356075853
Participant24,0,4.156129354,6.325885776
Participant25,0,2.864298205,1.187984576
Participant26,0,5.715277511,2.003564623
Participant27,0,3.406661542,1.899436909
Participant28,0,4.872412912,2.134543907
Participant30,1,4.624912548,1.058452572
Participant31,1,5.125222568,4.25511414
Participant32,0,4.144328265,4.706884322
Participant33,1,5.753679805,7.263322206
Participant34,0,3.870338216,2.950373544
Participant35,0,5.076911249,2.500636495
Participant36,0,2.793790864,1.188320464
Participant37,0,4.099832121,1.89292918
Participant38,0,3.533040831,1.950057765
Participant39,0,7.105785845,4.088062692
Participant40,0,7.095369422,3.057644816
Participant41,1,3.973726957,3.443468244
Participant42,0,5.638910751,3.120048031
Participant43,1,3.890073372,2.693848305
Participant44,0,3.827911734,3.901627911
Participant45,1,5.516335838,4.717070514
Participant46,0,4.064914723,2.908961104
Participant47,0,4.135899654,3.856330486
Participant48,0,6.54816692,2.727825018
Participant49,1,3.613041998,2.727071018
Participant50,1,3.706110389,4.041776136
Participant51,0,3.500135128,1.833081253
Participant52,0,4.108913136,3.480403114
Participant53,1,4.330482866,3.771559073
Participant54,0,3.537400958,4.018731437
Participant55,0,7.125580676,4.537103867
Participant56,1,3.508818938,5.452051108
Participant57,1,3.100031846,5.668511794
Participant58,0,5.309942089,2.052038877
Participant59,1,5.401575868,7.070555701
Participant60,0,4.675663744,3.957344477
Participant61,1,3.329437012,0.829439713
Participant62,0,3.51113419,1.630459696
Participant63,0,3.147157435,3.592545593
Participant64,1,3.678799403,3.151089185
